,eta_x,eta_y,eta_psi,nu_u,nu_v,nu_r,on_land,d_obs,psi_tilde_obs
2025,0.16563960690957066,0.15247004181102444,0.00015517975324212674,0.0007682824607792293,-5.2159717307154185e-05,-1.8146848845823627e-06,0.0,-0.06699540148604466,-0.000756612295907122
2026,0.16554108348063734,0.15242102568348712,0.0001556104105099182,0.0007685064961443361,-5.033147323918463e-05,-2.6991352355953957e-07,0.0,-0.06706223972506674,-0.0007571096654049869
2027,0.16544905989084702,0.15237458806842774,0.00014849765093524758,0.0007678819772523604,-4.846650222575799e-05,1.034566392388303e-06,0.0,-0.06705572219541538,-0.0007572932279963362
2028,0.16536426538906931,0.15234723433094977,0.00015608718312513925,0.0007663257845863802,-4.694781260464187e-05,1.816031037105148e-06,0.0,-0.06699275902136474,-0.0007572629226649252
2029,0.16528292081540635,0.15233473319824717,0.00015614778134952212,0.0007642828283273562,-4.55541520207603e-05,2.47239223333251e-06,0.0,-0.06689731768143757,-0.000757240938344339
2030,0.1652104841325232,0.15230965450237724,0.0001560454576919057,0.0007619635253384993,-4.450773092076754e-05,2.8247882326859486e-06,0.0,-0.06679177791950533,-0.0007573141319533461
2031,0.16515239406249416,0.15231422817331677,0.00015587714039004552,0.0007593940652755177,-4.353734123457853e-05,3.097213851888103e-06,0.0,-0.06666077955894278,-0.0007570889511091528
2032,0.16510517093100263,0.15230454479350938,0.00015577373489789048,0.000756790750780098,-4.2606797468813795e-05,3.2184953226155333e-06,0.0,-0.06651974437513461,-0.0007569839291290403
2033,0.16505835227655385,0.1523100820282987,0.0001629662278885835,0.0007541451987133491,-4.2013686095743186e-05,3.2366855748089396e-06,0.0,-0.06638756821183682,-0.0007605336793282125
2034,0.16502000562990532,0.15230208187233601,0.0001627391434118053,0.0007515531380202223,-4.13143445559816e-05,3.3174424427517835e-06,0.0,-0.0662455442716039,-0.0007603577596005939
2035,0.1649948713510176,0.15232220735704208,0.00016247475894920482,0.0007489390007399677,-4.0752360624535244e-05,3.3625517022739526e-06,0.0,-0.06609982116715611,-0.0007600457873322974
2036,0.16497000694800246,0.1523290296546725,0.00016965325248856356,0.0007464251018260148,-4.0238044616419666e-05,3.3635646772278704e-06,0.0,-0.06595465757567394,-0.0007597717090229161
2037,0.16495233229424605,0.15233512271906138,0.0001694132475193455,0.0007440293043500523,-3.991333766029115e-05,3.3045898961137077e-06,0.0,-0.06582053499350685,-0.0007632836922392139
2038,0.16494642071148255,0.15235657389667545,0.00016903391008607493,0.0007416569449280874,-3.955068594185818e-05,3.2851164891711804e-06,0.0,-0.06568376536920306,-0.0007630070745043849
2039,0.16495076408496487,0.15237771310179848,0.0001761652167427824,0.0007393113491383774,-3.911995693767212e-05,3.2049724311700167e-06,0.0,-0.0655453564729987,-0.0007625704148250256
2040,0.1649542155700263,0.15239808012842326,0.00017575517365645,0.0007369911821755726,-3.892892440221507e-05,3.1850868431881896e-06,0.0,-0.06541838855850127,-0.0007623057411890732
2041,0.16496573320514066,0.15240452867145043,0.0001754527083160512,0.0007349397987057998,-3.87943169906646e-05,3.1180664476215814e-06,0.0,-0.06529254974682616,-0.0007658186292859304
2042,0.1649803025103067,0.15243981627306766,0.00017505459501729326,0.0007328605751194817,-3.8587014220631266e-05,3.0728622683051654e-06,0.0,-0.06516358432579682,-0.0007653711479358449
2043,0.165002466628569,0.1524607175750306,0.00018203102507288738,0.0007308974697107923,-3.840727588094728e-05,3.0172551300777783e-06,0.0,-0.06504511459905826,-0.0007650136161298504
2044,0.16502474818724117,0.15248153320512192,0.000181581309699419,0.0007289690889064476,-3.841033286125506e-05,2.865138244295684e-06,0.0,-0.0649274865203325,-0.0007647891406071805
2045,0.1650564625336615,0.15250211441775618,0.00018123593251838377,0.0007272990417569181,-3.8236917448808416e-05,2.893817123178488e-06,0.0,-0.06480910491090663,-0.0007643758022606306
2046,0.16508793769657604,0.15252311897870757,0.0001881388357873326,0.0007256113568867711,-3.8162473766339966e-05,2.795026337709672e-06,0.0,-0.06470117560302374,-0.0007678141620544587
2047,0.16512933195232737,0.15255703806240423,0.00018766202175377056,0.0007240611285348614,-3.812907948741451e-05,2.7646321276442176e-06,0.0,-0.06459153125411499,-0.0007674266177453148
2048,0.16517009924249657,0.15257807693027248,0.00018725039086923967,0.000722515086659048,-3.8073017390366504e-05,2.687643826132513e-06,0.0,-0.06448321248734509,-0.0007670447808566516
2049,0.16520993520767405,0.15259769009890464,0.00018684907959272412,0.0007210313761503162,-3.8044490722116686e-05,2.5568398234199208e-06,0.0,-0.06437526605276553,-0.0007667336901064914
2050,0.1652610182815431,0.15263263793318918,0.00019371509759748273,0.0007196845778982552,-3.800868704739724e-05,2.5066901665482533e-06,0.0,-0.06427508061451764,-0.0007663328047647355
2051,0.1652996244082624,0.1526521321027481,0.00019337003625112537,0.000718528404281521,-3.798772938931605e-05,2.4990922885270717e-06,0.0,-0.06417773826026282,-0.000765990684457929
2052,0.16536025517559041,0.15268660718954313,0.000192797477199802,0.000717312282767002,-3.795655395280595e-05,2.4821062100666147e-06,0.0,-0.06407815950913348,-0.0007694002421868573
2053,0.16540890752686216,0.15270627647363977,0.0001923980447449125,0.0007161599619358583,-3.791150318707692e-05,2.3599291994746974e-06,0.0,-0.06398031957298142,-0.0007689625882134621
2054,0.16546750267951832,0.15272647305652098,0.00019188310150411447,0.0007150906675959801,-3.800959397870507e-05,2.2279036125949503e-06,0.0,-0.0638819579462433,-0.0007686578002605859
2055,0.16552646943897953,0.15276065311361198,0.00019869679907148774,0.0007141593483107889,-3.7918314243823303e-05,2.2432163355734502e-06,0.0,-0.06379222820580455,-0.0007682100251897861
2056,0.16558301776567014,0.15277983718243493,0.00019825143707476178,0.0007132356520269806,-3.787397036009166e-05,2.1908938469816785e-06,0.0,-0.06370456822094603,-0.0007678765719116853
2057,0.16564184676203017,0.1528132997078009,0.00019783408559524707,0.0007125284384832675,-3.783909332344404e-05,2.213028059583344e-06,0.0,-0.06361577145141276,-0.0007673849217599837
2058,0.16569796227411435,0.15283184245344503,0.00019735289558084346,0.000711690414783861,-3.778366242679354e-05,2.05210022716229e-06,0.0,-0.06352844597752513,-0.0007670931740749731
2059,0.16576439937466814,0.15285212021988673,0.00019687872128709705,0.0007109308133467218,-3.7790511602714405e-05,2.0279675069512226e-06,0.0,-0.06344091596961124,-0.0007704216075405945
2060,0.16582255752017722,0.15288461912246265,0.000203608433914218,0.000710297315648728,-3.7756492610174774e-05,2.055904683606613e-06,0.0,-0.06336230871576863,-0.0007700130307832787
2061,0.16588737904235162,0.15290430033148722,0.00020304149405094007,0.0007096086764276088,-3.776708725791722e-05,1.914731249830215e-06,0.0,-0.06327475703664878,-0.0007696976355208163
2062,0.1659432176117273,0.15292236129637637,0.00020269615617139747,0.0007090685523152701,-3.768421139418998e-05,1.9148604993302065e-06,0.0,-0.06319824269404471,-0.0007693189906801678
2063,0.16600839167141168,0.15295482951461103,0.000202163002504252,0.0007085281481028771,-3.766934812424183e-05,1.875695958664103e-06,0.0,-0.06312008901163818,-0.0007689350561287944
2064,0.16607387161644338,0.15297337836748393,0.00020166845944197265,0.0007081080378217586,-3.770767983243828e-05,1.777530198976418e-06,0.0,-0.06304308045210524,-0.0007686322546458513
2065,0.16613711226237216,0.15299215794793958,0.00020855551290441254,0.000707654983985534,-3.75576985283399e-05,1.809503134553303e-06,0.0,-0.06297593152243137,-0.0007682479337721149
2066,0.16619231242444052,0.15301016100211584,0.00020800012480000352,0.000707244718870445,-3.7589316574021536e-05,1.680257348118941e-06,0.0,-0.062899980501462,-0.0007679708707307165
2067,0.16625798015806353,0.1530425972524529,0.00020756678204869594,0.0007069177067789284,-3.741943024374028e-05,1.7574063310432653e-06,0.0,-0.0628228063067219,-0.0007712115109432816
2068,0.1687553065448035,0.15438191972088688,0.00015728071847742608,0.000656505870327409,-1.822195065881438e-05,1.5473615228300819e-06,0.0,-0.03906443937940657,-0.009154323315982815
2069,0.1687819863879368,0.15438205042230174,0.00015807055172671614,0.0006666164677568698,-2.972938587364471e-05,-1.1293643151499833e-05,0.0,-0.03933767563187657,-0.009171584799786858
2070,0.16634909524358105,0.1530223294033809,0.00020148891444160544,0.0007393184880897241,-6.187193074519426e-05,-2.666918218860448e-05,0.0,-0.06328703446689601,-0.0007684752414148788
2071,0.16620438709417545,0.1528823187519855,0.0001838323020263155,0.0007446165733465682,-6.010651620555474e-05,-2.04698146487603e-05,0.0,-0.06449893873874987,-0.0007643630157657677
2072,0.16607419456609196,0.15278200522655996,0.00017209012277441538,0.0007492133437902865,-5.956939294246566e-05,-1.5035088607701086e-05,0.0,-0.06542138636300676,-0.0007594105948113272
2073,0.16596433930739785,0.15267800693071884,0.00016676996703833546,0.0007562765405256522,-5.83784405517318e-05,-1.0508377773388311e-05,0.0,-0.06609122822506215,-0.0007574625399935364
2074,0.1658525987165678,0.15259675259748962,0.00016082847485010543,0.0007624100119267285,-5.6440911298638596e-05,-6.8565260122888105e-06,0.0,-0.0665449775592999,-0.0007550341251619241
2075,0.16574469444780127,0.15252302416964533,0.00015444183110280285,0.0007663612906393114,-5.4357897366574814e-05,-4.032435923395639e-06,0.0,-0.06683391614760176,-0.0007560046321717362
2076,0.16563960690957066,0.15247004181102444,0.00015517975324212674,0.0007682824607792293,-5.2159717307154185e-05,-1.8146848845823627e-06,0.0,-0.06699540148604466,-0.000756612295907122
2077,0.16554108348063734,0.15242102568348712,0.0001556104105099182,0.0007685064961443361,-5.033147323918463e-05,-2.6991352355953957e-07,0.0,-0.06706223972506674,-0.0007571096654049869
2078,0.16544905989084702,0.15237458806842774,0.00014849765093524758,0.0007678819772523604,-4.846650222575799e-05,1.034566392388303e-06,0.0,-0.06705572219541538,-0.0007572932279963362
2079,0.16536426538906931,0.15234723433094977,0.00015608718312513925,0.0007663257845863802,-4.694781260464187e-05,1.816031037105148e-06,0.0,-0.06699275902136474,-0.0007572629226649252
2080,0.16528292081540635,0.15233473319824717,0.00015614778134952212,0.0007642828283273562,-4.55541520207603e-05,2.47239223333251e-06,0.0,-0.06689731768143757,-0.000757240938344339
2081,0.1652118597604596,0.15232352070495023,0.00015598686798455608,0.0007618628338183775,-4.456371236516432e-05,2.7980668889093785e-06,0.0,-0.06679031968031207,-0.0007572939083952956
2082,0.16515239406249416,0.15231422817331677,0.00015587714039004552,0.0007593940652755177,-4.353734123457853e-05,3.097213851888103e-06,0.0,-0.06666077955894278,-0.0007570889511091528
2083,0.16510517093100263,0.15230454479350938,0.00015577373489789048,0.000756790750780098,-4.2606797468813795e-05,3.2184953226155333e-06,0.0,-0.06651974437513461,-0.0007569839291290403
2084,0.16505835227655385,0.1523100820282987,0.0001629662278885835,0.0007541451987133491,-4.2013686095743186e-05,3.2366855748089396e-06,0.0,-0.06638756821183682,-0.0007605336793282125
2085,0.16502000562990532,0.15230208187233601,0.0001627391434118053,0.0007515531380202223,-4.13143445559816e-05,3.3174424427517835e-06,0.0,-0.0662455442716039,-0.0007603577596005939
2086,0.1649948713510176,0.15232220735704208,0.00016247475894920482,0.0007489390007399677,-4.0752360624535244e-05,3.3625517022739526e-06,0.0,-0.06609982116715611,-0.0007600457873322974
2087,0.16497000694800246,0.1523290296546725,0.00016965325248856356,0.0007464251018260148,-4.0238044616419666e-05,3.3635646772278704e-06,0.0,-0.06595465757567394,-0.0007597717090229161
2088,0.16495233229424605,0.15233512271906138,0.0001694132475193455,0.0007440293043500523,-3.991333766029115e-05,3.3045898961137077e-06,0.0,-0.06582053499350685,-0.0007632836922392139
2089,0.16494642071148255,0.15235657389667545,0.00016903391008607493,0.0007416569449280874,-3.955068594185818e-05,3.2851164891711804e-06,0.0,-0.06568376536920306,-0.0007630070745043849
2090,0.16495076408496487,0.15237771310179848,0.0001761652167427824,0.0007393113491383774,-3.911995693767212e-05,3.2049724311700167e-06,0.0,-0.0655453564729987,-0.0007625704148250256
2091,0.1649542155700263,0.15239808012842326,0.00017575517365645,0.0007369911821755726,-3.892892440221507e-05,3.1850868431881896e-06,0.0,-0.06541838855850127,-0.0007623057411890732
2092,0.16496573320514066,0.15240452867145043,0.0001754527083160512,0.0007349397987057998,-3.87943169906646e-05,3.1180664476215814e-06,0.0,-0.06529254974682616,-0.0007658186292859304
2093,0.1649803025103067,0.15243981627306766,0.00017505459501729326,0.0007328605751194817,-3.8587014220631266e-05,3.0728622683051654e-06,0.0,-0.06516358432579682,-0.0007653711479358449
2094,0.165002466628569,0.1524607175750306,0.00018203102507288738,0.0007308974697107923,-3.840727588094728e-05,3.0172551300777783e-06,0.0,-0.06504511459905826,-0.0007650136161298504
2095,0.1650247463000826,0.15248152822382188,0.00018160225271186825,0.0007289790971609228,-3.8414598407088274e-05,2.8638882379750097e-06,0.0,-0.06492751612154654,-0.000764778106649211
2096,0.1650564625336615,0.15250211441775618,0.00018123593251838377,0.0007272990417569181,-3.8236917448808416e-05,2.893817123178488e-06,0.0,-0.06480910491090663,-0.0007643758022606306
2097,0.16508793769657604,0.15252311897870757,0.0001881388357873326,0.0007256113568867711,-3.8162473766339966e-05,2.795026337709672e-06,0.0,-0.06470117560302374,-0.0007678141620544587
2098,0.16512933195232737,0.15255703806240423,0.00018766202175377056,0.0007240611285348614,-3.812907948741451e-05,2.7646321276442176e-06,0.0,-0.06459153125411499,-0.0007674266177453148
2099,0.16517009924249657,0.15257807693027248,0.00018725039086923967,0.000722515086659048,-3.8073017390366504e-05,2.687643826132513e-06,0.0,-0.06448321248734509,-0.0007670447808566516
2100,0.16520993520767405,0.15259769009890464,0.00018684907959272412,0.0007210313761503162,-3.8044490722116686e-05,2.5568398234199208e-06,0.0,-0.06437526605276553,-0.0007667336901064914
2101,0.1652610182815431,0.15263263793318918,0.00019371509759748273,0.0007196845778982552,-3.800868704739724e-05,2.5066901665482533e-06,0.0,-0.06427508061451764,-0.0007663328047647355
2102,0.1652996244082624,0.1526521321027481,0.00019337003625112537,0.000718528404281521,-3.798772938931605e-05,2.4990922885270717e-06,0.0,-0.06417773826026282,-0.000765990684457929
2103,0.16536025517559041,0.15268660718954313,0.000192797477199802,0.000717312282767002,-3.795655395280595e-05,2.4821062100666147e-06,0.0,-0.06407815950913348,-0.0007694002421868573
2104,0.16540890752686216,0.15270627647363977,0.0001923980447449125,0.0007161599619358583,-3.791150318707692e-05,2.3599291994746974e-06,0.0,-0.06398031957298142,-0.0007689625882134621
2105,0.16546750267951832,0.15272647305652098,0.00019188310150411447,0.0007150906675959801,-3.800959397870507e-05,2.2279036125949503e-06,0.0,-0.0638819579462433,-0.0007686578002605859
2106,0.16552646943897953,0.15276065311361198,0.00019869679907148774,0.0007141593483107889,-3.7918314243823303e-05,2.2432163355734502e-06,0.0,-0.06379222820580455,-0.0007682100251897861
2107,0.16558301776567014,0.15277983718243493,0.00019825143707476178,0.0007132356520269806,-3.787397036009166e-05,2.1908938469816785e-06,0.0,-0.06370456822094603,-0.0007678765719116853
2108,0.16564184676203017,0.1528132997078009,0.00019783408559524707,0.0007125284384832675,-3.783909332344404e-05,2.213028059583344e-06,0.0,-0.06361577145141276,-0.0007673849217599837
2109,0.16569796227411435,0.15283184245344503,0.00019735289558084346,0.000711690414783861,-3.778366242679354e-05,2.05210022716229e-06,0.0,-0.06352844597752513,-0.0007670931740749731
2110,0.16576439937466814,0.15285212021988673,0.00019687872128709705,0.0007109308133467218,-3.7790511602714405e-05,2.0279675069512226e-06,0.0,-0.06344091596961124,-0.0007704216075405945
2111,0.16582255752017722,0.15288461912246265,0.000203608433914218,0.000710297315648728,-3.7756492610174774e-05,2.055904683606613e-06,0.0,-0.06336230871576863,-0.0007700130307832787
2112,0.16588737904235162,0.15290430033148722,0.00020304149405094007,0.0007096086764276088,-3.776708725791722e-05,1.914731249830215e-06,0.0,-0.06327475703664878,-0.0007696976355208163
2113,0.1659432176117273,0.15292236129637637,0.00020269615617139747,0.0007090685523152701,-3.768421139418998e-05,1.9148604993302065e-06,0.0,-0.06319824269404471,-0.0007693189906801678
2114,0.16600839167141168,0.15295482951461103,0.000202163002504252,0.0007085281481028771,-3.766934812424183e-05,1.875695958664103e-06,0.0,-0.06312008901163818,-0.0007689350561287944
2115,0.16607387161644338,0.15297337836748393,0.00020166845944197265,0.0007081080378217586,-3.770767983243828e-05,1.777530198976418e-06,0.0,-0.06304308045210524,-0.0007686322546458513
2116,0.16613711226237216,0.15299215794793958,0.00020855551290441254,0.000707654983985534,-3.75576985283399e-05,1.809503134553303e-06,0.0,-0.06297593152243137,-0.0007682479337721149
2117,0.16619231242444052,0.15301016100211584,0.00020800012480000352,0.000707244718870445,-3.7589316574021536e-05,1.680257348118941e-06,0.0,-0.062899980501462,-0.0007679708707307165
2118,0.16625798015806353,0.1530425972524529,0.00020756678204869594,0.0007069177067789284,-3.741943024374028e-05,1.7574063310432653e-06,0.0,-0.0628228063067219,-0.0007712115109432816
2119,0.1687553065448035,0.15438191972088688,0.00015728071847742608,0.000656505870327409,-1.822195065881438e-05,1.5473615228300819e-06,0.0,-0.03906443937940657,-0.009154323315982815
2120,0.1687819863879368,0.15438205042230174,0.00015807055172671614,0.0006666164677568698,-2.972938587364471e-05,-1.1293643151499833e-05,0.0,-0.03933767563187657,-0.009171584799786858
2121,0.16634909524358105,0.1530223294033809,0.00020148891444160544,0.0007393184880897241,-6.187193074519426e-05,-2.666918218860448e-05,0.0,-0.06328703446689601,-0.0007684752414148788
2122,0.16620438709417545,0.1528823187519855,0.0001838323020263155,0.0007446165733465682,-6.010651620555474e-05,-2.04698146487603e-05,0.0,-0.06449893873874987,-0.0007643630157657677
2123,0.16607419456609196,0.15278200522655996,0.00017209012277441538,0.0007492133437902865,-5.956939294246566e-05,-1.5035088607701086e-05,0.0,-0.06542138636300676,-0.0007594105948113272
2124,0.16596433930739785,0.15267800693071884,0.00016676996703833546,0.0007562765405256522,-5.83784405517318e-05,-1.0508377773388311e-05,0.0,-0.06609122822506215,-0.0007574625399935364
2125,0.1658525987165678,0.15259675259748962,0.00016082847485010543,0.0007624100119267285,-5.6440911298638596e-05,-6.8565260122888105e-06,0.0,-0.0665449775592999,-0.0007550341251619241
2126,0.16574469444780127,0.15252302416964533,0.00015444183110280285,0.0007663612906393114,-5.4357897366574814e-05,-4.032435923395639e-06,0.0,-0.06683391614760176,-0.0007560046321717362
2127,0.16563960690957066,0.15247004181102444,0.00015517975324212674,0.0007682824607792293,-5.2159717307154185e-05,-1.8146848845823627e-06,0.0,-0.06699540148604466,-0.000756612295907122
2128,0.16554108348063734,0.15242102568348712,0.0001556104105099182,0.0007685064961443361,-5.033147323918463e-05,-2.6991352355953957e-07,0.0,-0.06706223972506674,-0.0007571096654049869
2129,0.16544905989084702,0.15237458806842774,0.00014849765093524758,0.0007678819772523604,-4.846650222575799e-05,1.034566392388303e-06,0.0,-0.06705572219541538,-0.0007572932279963362
2130,0.16536426538906931,0.15234723433094977,0.00015608718312513925,0.0007663257845863802,-4.694781260464187e-05,1.816031037105148e-06,0.0,-0.06699275902136474,-0.0007572629226649252
2131,0.16528292081540635,0.15233473319824717,0.00015614778134952212,0.0007642828283273562,-4.55541520207603e-05,2.47239223333251e-06,0.0,-0.06689731768143757,-0.000757240938344339
2132,0.16521181079736608,0.1523234781815942,0.0001559247694582211,0.000761843059981171,-4.459513453031194e-05,2.762457779803551e-06,0.0,-0.06679037748270764,-0.0007573702229407564
2133,0.16515239406249416,0.15231422817331677,0.00015587714039004552,0.0007593940652755177,-4.353734123457853e-05,3.097213851888103e-06,0.0,-0.06666077955894278,-0.0007570889511091528
2134,0.16510517093100263,0.15230454479350938,0.00015577373489789048,0.000756790750780098,-4.2606797468813795e-05,3.2184953226155333e-06,0.0,-0.06651974437513461,-0.0007569839291290403
2135,0.16505835227655385,0.1523100820282987,0.0001629662278885835,0.0007541451987133491,-4.2013686095743186e-05,3.2366855748089396e-06,0.0,-0.06638756821183682,-0.0007605336793282125
2136,0.16502000562990532,0.15230208187233601,0.0001627391434118053,0.0007515531380202223,-4.13143445559816e-05,3.3174424427517835e-06,0.0,-0.0662455442716039,-0.0007603577596005939
2137,0.1649948713510176,0.15232220735704208,0.00016247475894920482,0.0007489390007399677,-4.0752360624535244e-05,3.3625517022739526e-06,0.0,-0.06609982116715611,-0.0007600457873322974
2138,0.16497000694800246,0.1523290296546725,0.00016965325248856356,0.0007464251018260148,-4.0238044616419666e-05,3.3635646772278704e-06,0.0,-0.06595465757567394,-0.0007597717090229161
2139,0.16495233229424605,0.15233512271906138,0.0001694132475193455,0.0007440293043500523,-3.991333766029115e-05,3.3045898961137077e-06,0.0,-0.06582053499350685,-0.0007632836922392139
2140,0.1649464275105907,0.15235659675963836,0.00016902002936197702,0.0007416381673464173,-3.95560870241618e-05,3.3007873121437825e-06,0.0,-0.06568376831690777,-0.0007630114003056021
2141,0.16495076408496487,0.15237771310179848,0.0001761652167427824,0.0007393113491383774,-3.911995693767212e-05,3.2049724311700167e-06,0.0,-0.0655453564729987,-0.0007625704148250256
2142,0.1649542155700263,0.15239808012842326,0.00017575517365645,0.0007369911821755726,-3.892892440221507e-05,3.1850868431881896e-06,0.0,-0.06541838855850127,-0.0007623057411890732
2143,0.16496573320514066,0.15240452867145043,0.0001754527083160512,0.0007349397987057998,-3.87943169906646e-05,3.1180664476215814e-06,0.0,-0.06529254974682616,-0.0007658186292859304
2144,0.1649803025103067,0.15243981627306766,0.00017505459501729326,0.0007328605751194817,-3.8587014220631266e-05,3.0728622683051654e-06,0.0,-0.06516358432579682,-0.0007653711479358449
2145,0.165002466628569,0.1524607175750306,0.00018203102507288738,0.0007308974697107923,-3.840727588094728e-05,3.0172551300777783e-06,0.0,-0.06504511459905826,-0.0007650136161298504
2146,0.16502474818724117,0.15248153320512192,0.000181581309699419,0.0007289690889064476,-3.841033286125506e-05,2.865138244295684e-06,0.0,-0.0649274865203325,-0.0007647891406071805
2147,0.1650564625336615,0.15250211441775618,0.00018123593251838377,0.0007272990417569181,-3.8236917448808416e-05,2.893817123178488e-06,0.0,-0.06480910491090663,-0.0007643758022606306
2148,0.16508793769657604,0.15252311897870757,0.0001881388357873326,0.0007256113568867711,-3.8162473766339966e-05,2.795026337709672e-06,0.0,-0.06470117560302374,-0.0007678141620544587
2149,0.16512933195232737,0.15255703806240423,0.00018766202175377056,0.0007240611285348614,-3.812907948741451e-05,2.7646321276442176e-06,0.0,-0.06459153125411499,-0.0007674266177453148
2150,0.16517009924249657,0.15257807693027248,0.00018725039086923967,0.000722515086659048,-3.8073017390366504e-05,2.687643826132513e-06,0.0,-0.06448321248734509,-0.0007670447808566516
2151,0.16520993520767405,0.15259769009890464,0.00018684907959272412,0.0007210313761503162,-3.8044490722116686e-05,2.5568398234199208e-06,0.0,-0.06437526605276553,-0.0007667336901064914
2152,0.1652610182815431,0.15263263793318918,0.00019371509759748273,0.0007196845778982552,-3.800868704739724e-05,2.5066901665482533e-06,0.0,-0.06427508061451764,-0.0007663328047647355
2153,0.1652996244082624,0.1526521321027481,0.00019337003625112537,0.000718528404281521,-3.798772938931605e-05,2.4990922885270717e-06,0.0,-0.06417773826026282,-0.000765990684457929
2154,0.16536025517559041,0.15268660718954313,0.000192797477199802,0.000717312282767002,-3.795655395280595e-05,2.4821062100666147e-06,0.0,-0.06407815950913348,-0.0007694002421868573
